day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6
1,1.95E-04,0.001131736,0.145766484,6.865766709,13.35574077,3.327969217
2,1.93E-04,0.001178943,0.150376123,6.719146127,13.13327881,3.233467088
3,1.91E-04,0.001229903,0.155319429,6.571231289,12.91510902,3.140350232
4,1.90E-04,0.001288181,0.160947968,6.43490267,12.72552161,3.053992712
5,1.89E-04,0.00134825,0.166662121,6.283313656,12.51278868,2.963284444
6,1.87E-04,0.001405487,0.171866044,6.097687147,12.23874454,2.860453884
7,1.86E-04,0.001466238,0.176990484,5.906318455,11.96005754,2.760209542
8,1.85E-04,0.001531578,0.182133482,5.711877255,11.67777386,2.66118177
9,1.85E-04,0.001605765,0.187817259,5.535733358,11.437406,2.575157433
10,1.86E-04,0.001692266,0.194459128,5.37878059,11.23737998,2.498378379
11,1.86E-04,0.001787687,0.201778507,5.230388193,11.0550469,2.425537091
12,1.85E-04,0.001881222,0.208812844,5.073167005,10.85336818,2.350405598
13,1.85E-04,0.001988969,0.217464191,4.952311062,10.72750202,2.293147109
14,1.86E-04,0.002102954,0.2270272,4.847603479,10.63446709,2.244006574
15,1.86E-04,0.002206963,0.236284536,4.738446612,10.52754635,2.194073324
16,1.86E-04,0.002298621,0.245665066,4.641751122,10.44169154,2.151505034
17,1.86E-04,0.002377095,0.255364419,4.560380132,10.3834243,2.116794587
18,1.86E-04,0.002436764,0.264886026,4.482779497,10.32757454,2.083939442
19,1.85E-04,0.002472532,0.273814814,4.403449217,10.26119464,2.050244601
20,1.84E-04,0.002480577,0.281686313,4.31985312,10.1768003,2.014602781
21,1.82E-04,0.002441972,0.286220647,4.207102241,10.0115573,1.96537346
22,1.80E-04,0.002394268,0.290502514,4.103042126,9.856414527,1.91915315
23,1.79E-04,0.00233417,0.293739714,3.997361688,9.686243817,1.871064861
24,1.77E-04,0.002271142,0.29653004,3.896375167,9.517327961,1.823949306
25,1.77E-04,0.002217492,0.30005872,3.81272833,9.382138688,1.783723396
26,1.76E-04,0.002161621,0.303324215,3.736455215,9.256647451,1.746116907
27,1.77E-04,0.002104724,0.306381602,3.667831867,9.142216068,1.711304576
28,1.77E-04,0.002043951,0.308817459,3.602242246,9.027767766,1.677197002
29,1.77E-04,0.001993812,0.31215749,3.553191764,8.94873221,1.65003132
30,1.78E-04,0.001936902,0.314618833,3.50402925,8.863008129,1.622337297
31,1.75E-04,0.001836311,0.31015626,3.390661569,8.607708057,1.564512123
32,1.77E-04,0.001808584,0.314779682,3.370891999,8.588319998,1.549178316
33,1.76E-04,0.001797304,0.318633711,3.331824827,8.51877982,1.524178129
34,1.75E-04,0.00179213,0.322887195,3.298278558,8.459088513,1.501334661
35,1.75E-04,0.001779198,0.326943785,3.271460807,8.411294758,1.481517284
36,1.75E-04,0.001750781,0.329667227,3.240685764,8.349038242,1.460038435
37,1.76E-04,0.001706866,0.331331684,3.210494212,8.28435813,1.439059647
38,1.76E-04,0.001649348,0.331798249,3.17821529,8.21129991,1.41743065
39,1.76E-04,0.001586932,0.331591669,3.144996117,8.133942769,1.395689079
40,1.76E-04,0.001502226,0.329061561,3.102985893,8.030911971,1.370375664
41,1.77E-04,0.001390057,0.324167705,3.057521005,7.914268832,1.343736026
42,1.78E-04,0.001274309,0.318570527,3.01420814,7.800044085,1.31850692
43,1.79E-04,0.0011541,0.311805975,2.967667819,7.675720251,1.292949819
44,1.80E-04,0.001042645,0.305018562,2.921486757,7.554349975,1.268287589
45,1.81E-04,0.000943125,0.299043615,2.880778784,7.449594873,1.246701026
46,1.81E-04,0.000856139,0.293235127,2.841043339,7.34679314,1.225336248
47,1.82E-04,0.000790995,0.289065425,2.813271345,7.270804053,1.207931144
48,1.82E-04,0.000723166,0.284741016,2.785542509,7.201575398,1.192280572
49,1.83E-04,0.000659302,0.279513109,2.752206416,7.126863551,1.176660172
50,1.83E-04,0.00060012,0.27277625,2.708828933,7.032548409,1.158508069
51,1.84E-04,0.00054778,0.26662233,2.670370311,6.951163055,1.14217841
52,1.84E-04,0.000500496,0.260093826,2.629293372,6.865366156,1.125235887
53,1.84E-04,0.000456751,0.251833312,2.577086336,6.758600363,1.106199618
54,1.84E-04,0.00041846,0.243736333,2.527366598,6.661108558,1.089146905
55,1.85E-04,0.000385399,0.236178175,2.4840759,6.583250064,1.075780905
56,1.86E-04,0.000355356,0.228085802,2.436594166,6.497412399,1.061647192
57,1.87E-04,0.000327872,0.219250965,2.382998175,6.398839462,1.046116142
58,1.89E-04,0.000304388,0.211091827,2.337629943,6.325011645,1.035185484
59,1.90E-04,0.000282448,0.202452313,2.286215484,6.235782909,1.021929639
60,1.90E-04,0.000261618,0.193075342,2.225555834,6.122165064,1.004950693
61,1.90E-04,0.000243028,0.18374084,2.164230796,6.007557726,0.988279716
62,1.91E-04,0.000227005,0.175293511,2.10842383,5.905513604,0.973371629
63,1.91E-04,0.000212879,0.167601054,2.056394712,5.810677954,0.959150124
64,1.91E-04,0.00019996,0.159667975,1.999288085,5.701217121,0.94285832
65,1.90E-04,0.000188314,0.151951391,1.941062294,5.586399179,0.925618056
66,1.90E-04,0.000178166,0.144504368,1.883210812,5.471184468,0.908531217
67,1.91E-04,0.00017011,0.138206124,1.834517327,5.378551753,0.894812071
68,1.91E-04,0.000163047,0.132025253,1.784493991,5.280414783,0.880324395
69,1.92E-04,0.000156788,0.125465255,1.73014803,5.170964472,0.864883375
70,1.93E-04,0.000151893,0.11955598,1.682159186,5.078841944,0.852471009
71,1.94E-04,0.000147556,0.11411311,1.636039307,4.988779085,0.839972823
72,1.95E-04,0.000143844,0.109158979,1.593193204,4.905839628,0.828360315
73,1.95E-04,0.000140235,0.10415409,1.54755719,4.812761186,0.815031756
74,1.95E-04,0.000137099,0.09895293,1.499252866,4.711650883,0.800902225
75,1.96E-04,0.000134762,0.094106778,1.455047491,4.622351169,0.788984458
76,1.98E-04,0.000133063,0.089426024,1.412805951,4.538797562,0.778421432
