day,sizebin1,sizebin2,sizebin3,sizebin4
1,5.12E-02,1.964145923,10.28460212,4.911068598
2,5.34E-02,1.936208174,10.14491072,4.772176106
3,5.57E-02,1.907728909,10.00514177,4.636283476
4,5.83E-02,1.88250139,9.883770872,4.511405952
5,6.10E-02,1.852966162,9.740791696,4.381328404
6,6.35E-02,1.813742734,9.546027478,4.234591929
7,6.61E-02,1.773473367,9.342754143,4.093003997
8,6.86E-02,1.73279977,9.131944393,3.95418746
9,7.14E-02,1.698579008,8.949413052,3.835577005
10,7.45E-02,1.670599191,8.793905098,3.731460159
11,7.78E-02,1.645530555,8.648093403,3.634024764
12,8.11E-02,1.617938125,8.48408875,3.533929719
13,8.51E-02,1.602118344,8.376464751,3.461506381
14,8.95E-02,1.591709641,8.292154615,3.402182915
15,9.39E-02,1.579784273,8.195945096,3.342349561
16,9.84E-02,1.571647283,8.116437132,3.294115114
17,1.03E-01,1.568143514,8.058934032,3.258261772
18,1.08E-01,1.565233361,8.00367084,3.225739348
19,1.13E-01,1.560822007,7.940814252,3.19234868
20,1.18E-01,1.553839642,7.865284396,3.15600344
21,1.22E-01,1.534953059,7.730039265,3.097561143
22,1.25E-01,1.518385823,7.603244947,3.043496872
23,1.28E-01,1.50052181,7.465587178,2.985893417
24,1.31E-01,1.483937367,7.329038277,2.929370584
25,1.34E-01,1.473730541,7.217912525,2.883700308
26,1.37E-01,1.465938766,7.114837178,2.841660608
27,1.39E-01,1.460690538,7.020868496,2.803590028
28,1.42E-01,1.456092835,6.927723889,2.76603079
29,1.45E-01,1.457996295,6.86149512,2.739826572
30,1.47E-01,1.45921991,6.791319583,2.712137054
31,1.46E-01,1.432376649,6.592905,2.632910466
32,1.50E-01,1.445819575,6.571512773,2.626467276
33,1.52E-01,1.452592184,6.506811866,2.605890003
34,1.55E-01,1.461987005,6.448573807,2.589487499
35,1.58E-01,1.473741938,6.400717016,2.577754994
36,1.60E-01,1.482788804,6.343534114,2.562425847
37,1.62E-01,1.490801719,6.286726721,2.546972689
38,1.64E-01,1.496552394,6.225391884,2.529506497
39,1.65E-01,1.500961186,6.161336953,2.511556351
40,1.65E-01,1.499174994,6.081103217,2.485406132
41,1.65E-01,1.492819629,5.996540413,2.453697903
42,1.64E-01,1.485850575,5.9166901,2.422480557
43,1.62E-01,1.475754115,5.831999397,2.387782809
44,1.61E-01,1.464881723,5.749885556,2.353898472
45,1.60E-01,1.456000076,5.680682348,2.325318727
46,1.59E-01,1.447208111,5.61157073,2.297862515
47,1.58E-01,1.445183291,5.558918831,2.280438884
48,1.58E-01,1.441529038,5.513648349,2.264636185
49,1.57E-01,1.433120824,5.468033234,2.24665607
50,1.55E-01,1.41779843,5.409768405,2.222283426
51,1.54E-01,1.404668789,5.358967949,2.202851393
52,1.53E-01,1.389325879,5.304142453,2.182463739
53,1.51E-01,1.366203988,5.23751405,2.154370124
54,1.49E-01,1.34382758,5.177725986,2.129636038
