day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6
1,2.17E-05,20.33860004,41.87963557,9.687089018,25.03114915,1.833948664
2,2.17E-05,19.76654176,41.81468983,9.654336573,25.68841699,1.887840787
3,2.16E-05,19.26013422,42.03567262,9.67368948,26.40547552,1.943605574
4,2.15E-05,18.78048696,42.38374644,9.736566381,27.21439561,2.005627062
5,2.13E-05,18.25009182,42.72008552,9.813371848,28.01029532,2.065070938
6,2.10E-05,17.69969352,43.35981611,9.955344453,28.79656736,2.115046871
7,2.08E-05,17.04896698,44.3758054,10.21360966,29.71128774,2.163210702
8,2.04E-05,16.26347351,45.46144752,10.5706672,30.73048671,2.2115336
9,2.02E-05,15.42078448,46.34048869,11.0015852,31.86391649,2.265970899
10,1.97E-05,14.53641144,46.93029601,11.46878595,33.03516396,2.330035035
11,1.93E-05,13.60304851,47.13452238,11.93408392,34.13565635,2.400104369
12,1.88E-05,12.61051308,46.91231406,12.38742496,35.06941421,2.466394258
13,1.86E-05,11.70277122,46.63875349,12.8927782,36.0653006,2.551233265
14,1.84E-05,10.83753058,45.9847476,13.30918917,36.88767782,2.645576907
15,1.84E-05,9.998382154,44.86481298,13.58523822,37.39566041,2.737239066
16,1.86E-05,9.250781268,43.5135853,13.7771383,37.74235798,2.834172116
17,1.90E-05,8.596110215,41.75444787,13.8523218,37.9271093,2.939116766
18,1.96E-05,8.001489988,39.63058916,13.79288282,37.88309307,3.046269694
19,2.02E-05,7.444956038,37.4697927,13.65019776,37.63303544,3.152235125
20,2.10E-05,6.956790007,35.59699321,13.49668547,37.24716696,3.254427291
21,2.17E-05,6.499440349,34.28575057,13.39445758,36.67194213,3.332228435
22,2.24E-05,6.100387491,33.70805094,13.48259105,36.27364684,3.418029845
23,2.29E-05,5.733358898,33.33772719,13.68444143,35.93391946,3.503679534
24,2.31E-05,5.394562431,33.09118103,14.02810282,35.71264479,3.596081921
25,2.32E-05,5.094173904,32.89469506,14.50312976,35.66264713,3.708498497
26,2.32E-05,4.820262528,32.67497891,14.99871026,35.63594458,3.830177409
27,2.31E-05,4.571386834,32.44787792,15.47814897,35.60856813,3.961943506
28,2.31E-05,4.342270051,32.19296228,15.90304048,35.5319378,4.099143507
29,2.30E-05,4.145848603,32.02143833,16.27465686,35.50075125,4.259651132
30,2.29E-05,3.965066392,31.69498608,16.47896237,35.34583478,4.421847265
31,2.27E-05,3.723056241,30.87620468,16.58300691,34.69190216,4.505026653
32,2.26E-05,3.592072587,30.93120022,17.2021568,35.01040124,4.724683893
33,2.20E-05,3.432029024,30.69252153,17.49379807,34.94001113,4.934178807
34,2.15E-05,3.28460746,30.46941654,17.6999918,34.85264335,5.162314806
35,2.13E-05,3.158615217,30.19223852,17.76341397,34.74720954,5.406086705
36,2.13E-05,3.042673314,29.75964932,17.66159175,34.53673469,5.646384825
37,2.15E-05,2.942598584,29.29034936,17.46843581,34.30226245,5.889228457
38,2.19E-05,2.8539685,28.7560691,17.19311124,34.02632454,6.129780514
39,2.24E-05,2.775249322,28.23333108,16.8889125,33.73971529,6.372824859
40,2.30E-05,2.70163646,27.75262067,16.57778393,33.40262574,6.595424403
41,2.39E-05,2.637323061,27.37840726,16.30954579,33.08918783,6.800927061
42,2.48E-05,2.583455718,27.10579003,16.07585167,32.82970394,7.008211083
43,2.57E-05,2.534302518,26.86684097,15.83778683,32.56283004,7.205098778
44,2.65E-05,2.491978887,26.71562951,15.62233917,32.33099829,7.406380957
45,2.73E-05,2.461434378,26.61377838,15.41538013,32.16979497,7.626439828
46,2.78E-05,2.435459825,26.45938845,15.17223212,32.00215914,7.852752003
47,2.82E-05,2.42299479,26.24287784,14.90718206,31.91302557,8.117211624
48,2.88E-05,2.398042622,25.7496804,14.5530781,31.80006712,8.385168741
49,2.96E-05,2.3517835,24.99327734,14.12042179,31.6200415,8.639854625
50,3.06E-05,2.296277532,24.16820375,13.65631639,31.33712466,8.864615716
51,3.15E-05,2.251799679,23.44736124,13.23102708,31.09006103,9.105502659
52,3.24E-05,2.211804611,22.78341951,12.8201481,30.81254075,9.338194941
53,3.36E-05,2.175337113,22.27665866,12.45226653,30.48690875,9.534153764
54,3.49E-05,2.151421035,21.94978088,12.15153985,30.22818413,9.739976614
55,3.62E-05,2.127434762,21.59349208,11.867534,30.04740057,9.970032118
56,3.76E-05,2.090627302,21.07048697,11.54130157,29.80956275,10.18141247
57,3.90E-05,2.050266017,20.53848471,11.21182746,29.51807502,10.36468165
58,4.07E-05,2.011516289,20.02723297,10.91019679,29.28185847,10.56026627
59,4.23E-05,1.966984753,19.43060554,10.59222301,29.00966181,10.74287149
60,4.39E-05,1.926852277,18.92277489,10.27724523,28.64114953,10.87782057
61,4.57E-05,1.903317395,18.67121626,10.02849755,28.31034981,11.00505919
62,4.73E-05,1.895206089,18.5722357,9.82946219,28.04892849,11.15344132
63,4.86E-05,1.896211488,18.51459537,9.646934099,27.81546766,11.31534133
64,4.99E-05,1.899185184,18.51623338,9.471055529,27.54182968,11.44547814
65,5.09E-05,1.912976577,18.67299051,9.332307962,27.27811723,11.56516807
66,5.19E-05,1.93630033,18.99287085,9.237671652,27.05785832,11.68377227
67,5.27E-05,1.975647092,19.42489444,9.191476167,26.96590818,11.85465912
