day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
1,0.000252296,0.000125101,0.000619858,0.250616514,1.706550409,2.898779161,,
2,0.000252734,0.000125197,0.000619233,0.249434287,1.690758579,2.873623348,,
3,0.000253173,0.000125304,0.000618583,0.248287723,1.675408199,2.849118813,,
4,0.000253612,0.000125416,0.000617872,0.247166338,1.660417274,2.825138242,,
5,0.000254052,0.000125538,0.000617122,0.246076289,1.645833962,2.801756412,,
6,0.000254473,0.000125656,0.000616284,0.245001981,1.631528773,2.778772583,,
7,0.000254878,0.000125773,0.000615366,0.243946011,1.617523267,2.756220178,,
8,0.000255271,0.000125892,0.000614376,0.242911364,1.603837792,2.734134608,,
9,0.00025566,0.000126013,0.000613317,0.241899988,1.5904718,2.712529568,,
10,0.00025604,0.000126134,0.000612183,0.240909653,1.57740908,2.691377922,,
11,0.000256413,0.000126257,0.000610974,0.239940622,1.564647184,2.670680373,,
12,0.000256788,0.000126384,0.000609701,0.238996198,1.552207448,2.650478048,,
13,0.000257163,0.000126515,0.000608361,0.238075468,1.540078232,2.630756023,,
14,0.000257539,0.00012665,0.000606949,0.23717671,1.528245135,2.611494487,,
15,0.000257869,0.000126762,0.000605319,0.236242291,1.516344626,2.592075137,,
16,0.000258015,0.000126783,0.00060312,0.235132253,1.503487958,2.570978867,,
17,0.000257946,0.000126689,0.000600179,0.233773129,1.489239798,2.547454532,,
18,0.000257701,0.000126496,0.000596524,0.232165956,1.47364008,2.521558292,,
19,0.00025736,0.000126238,0.000592301,0.230353132,1.45699282,2.493792922,,
20,0.000257019,0.000125968,0.000587785,0.228425396,1.439885707,2.465146959,,
21,0.000256809,0.000125751,0.00058331,0.226499914,1.423068703,2.436888879,,
22,0.000256741,0.000125599,0.000579015,0.224618191,1.406790202,2.409433676,,
23,0.000256792,0.00012551,0.000574967,0.222797628,1.391139765,2.382928077,,
24,0.000256923,0.000125467,0.000571143,0.221024578,1.376014605,2.357194327,,
25,0.000257147,0.00012548,0.000567613,0.219325537,1.361563787,2.33248993,,
26,0.000257423,0.00012553,0.000564342,0.217686958,1.347682026,2.30863943,,
27,0.000257723,0.000125606,0.000561316,0.21610381,1.334318461,2.285560016,,
28,0.000258067,0.000125715,0.000558536,0.2145815,1.321502899,2.263311791,,
29,0.00025844,0.000125849,0.000555992,0.213118003,1.309208275,2.241854599,,
30,0.000258831,0.000126002,0.000553648,0.211705277,1.297374233,2.221096246,,
31,0.000259443,0.00012631,0.000551685,0.210508354,1.289577334,2.198500531,,
32,0.000259827,0.000126479,0.000549649,0.209189858,1.278579138,2.179112082,,
33,0.000260202,0.000126652,0.000547726,0.207905527,1.267907669,2.16022275,,
