day,sizebin1,sizebin2,sizebin3,sizebin4,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
1,0.010910719,0.373056612,3.49517144,6.297206338,,
2,0.010980873,0.370603914,3.465677927,6.238657023,,
3,0.01104751,0.368142838,3.437338673,6.181643944,,
4,0.011110011,0.365671792,3.410052238,6.126029353,,
5,0.011167237,0.363187433,3.383625982,6.071546239,,
6,0.011219858,0.360691725,3.358173051,6.018351428,,
7,0.011267177,0.358177407,3.333397321,5.96601972,,
8,0.011309312,0.355645689,3.309348096,5.914621908,,
9,0.011346387,0.353101786,3.286065009,5.864235154,,
10,0.011378458,0.350560987,3.263520875,5.814896564,,
11,0.011405432,0.348020274,3.241682194,5.766547547,,
12,0.011427317,0.345484198,3.220535243,5.719192327,,
13,0.01144429,0.342962143,3.20011386,5.672923878,,
14,0.011456296,0.340456792,3.18038594,5.627712124,,
15,0.011463241,0.33796997,3.161312691,5.583517874,,
16,0.011462082,0.335425134,3.142128338,5.539028008,,
17,0.011445966,0.332627986,3.1209781,5.491005692,,
18,0.011410786,0.329482313,3.096931247,5.437867024,,
19,0.011356685,0.325993711,3.070048277,5.379748226,,
20,0.011286211,0.322223117,3.0409441,5.317733936,,
21,0.011205328,0.318293284,3.010843175,5.253927912,,
22,0.011121053,0.314363744,2.981313118,5.191026754,,
23,0.011037332,0.310484633,2.952887555,5.129895761,,
24,0.010956816,0.306672679,2.925770524,5.070826273,,
25,0.010879911,0.302905086,2.89975677,5.013424636,,
26,0.010808547,0.299216873,2.875166103,4.958228077,,
27,0.010742712,0.295588333,2.851783292,4.904852565,,
28,0.010682783,0.292011484,2.829507423,4.853111388,,
29,0.010628376,0.288499744,2.808390768,4.803137359,,
30,0.010579578,0.285051722,2.788376795,4.754839928,,
31,0.010535549,0.281661631,2.769330776,4.708025996,,
32,0.010366631,0.280337298,2.736655918,4.669449709,,
33,0.010331483,0.277080188,2.719526089,4.625359614,,
34,0.01029907,0.273871061,2.703060453,4.582340433,,
35,0.010270062,0.270738116,2.687477855,4.540788217,,
36,0.01024466,0.267699108,2.672889584,4.500920055,,
37,0.01022341,0.264784474,2.659539717,4.463174478,,
38,0.010206836,0.262022966,2.647654064,4.427959833,,
39,0.010194079,0.259407694,2.637105935,4.395087311,,
40,0.010184757,0.256944231,2.627892261,4.364577339,,
41,0.010177945,0.25462617,2.619881814,4.336243554,,
42,0.010170558,0.252396538,2.612426641,4.309043325,,
43,0.010160796,0.250236845,2.605267394,4.282594066,,
44,0.010146187,0.248115309,2.598006431,4.256289683,,
45,0.010123097,0.245957133,2.589813912,4.228811986,,
46,0.010088409,0.24370684,2.580056999,4.199168336,,
47,0.010037522,0.24127405,2.567767425,4.165840714,,
48,0.009968088,0.238610778,2.552429757,4.128028719,,
49,0.009881231,0.23572962,2.5342235,4.08603163,,
50,0.009781091,0.232712395,2.514075208,4.041330063,,
51,0.009678193,0.229744658,2.494141514,3.997319011,,
52,0.009572028,0.226778129,2.474003716,3.953262988,,
53,0.009462598,0.223783379,2.453418099,3.908723175,,
54,0.009350349,0.220752595,2.432366697,3.863636343,,
55,0.009236735,0.217690942,2.410985679,3.818168741,,
56,0.00912264,0.214607503,2.389417843,3.772524092,,
57,0.009008996,0.211509095,2.36778001,3.726859315,,
58,0.008895795,0.208392564,2.346038665,3.681118007,,
59,0.008773657,0.205029222,2.321627909,3.631269046,,
60,0.008639955,0.201387848,2.294127526,3.57672525,,
61,0.008503983,0.197680184,2.26591718,3.521219228,,
62,0.008282712,0.192070184,2.215759416,3.431962674,,
63,0.008304098,0.191886048,2.228509243,3.439979916,,
64,0.008283217,0.190394304,2.226590621,3.424891785,,
65,0.008270164,0.188900908,2.22492586,3.40996586,,
66,0.008264843,0.187423027,2.223660527,3.395455001,,
67,0.008265862,0.185958256,2.222695251,3.381249704,,
68,0.008275247,0.18459135,2.22296115,3.368819442,,
69,0.008294325,0.183371832,2.224993745,3.358999081,,
70,0.008325136,0.182364663,2.229508881,3.352890802,,
71,0.008364766,0.181541689,2.236056691,3.349866776,,
72,0.008407498,0.180817533,2.243443985,3.34820205,,
73,0.008448889,0.180145582,2.250921876,3.346865591,,
74,0.008486363,0.179521953,2.258275816,3.34563266,,
75,0.008517711,0.178952646,2.265418591,3.344471872,,
76,0.008540413,0.178419967,2.272024465,3.342968422,,
77,0.008545467,0.177782542,2.276193698,3.338410804,,
78,0.008531916,0.17704609,2.277937172,3.330879154,,
79,0.008498359,0.17618478,2.276930756,3.319928302,,
80,0.008438722,0.175070488,2.271570987,3.303238151,,
81,0.00835527,0.173731175,2.26231735,3.281479217,,
82,0.008253036,0.172238568,2.250218117,3.256166048,,
83,0.008136663,0.17060464,2.235728177,3.227815714,,
84,0.008009933,0.168856722,2.21938137,3.197136141,,
85,0.007880921,0.167109847,2.202877326,3.166486165,,
86,0.007752691,0.1653775,2.186548441,3.136258178,,
87,0.00762716,0.163665199,2.170564593,3.106617432,,
88,0.007505901,0.161974496,2.155038489,3.077684189,,
89,0.007389519,0.1602884,2.139834423,3.049215431,,
90,0.007279368,0.158616535,2.125140422,3.021441309,,
91,0.007176127,0.156952256,2.11091566,2.994265506,,
92,0.007079812,0.155291547,2.097123548,2.96762201,,
93,0.006990438,0.153631253,2.083734349,2.941455083,,
94,0.006908004,0.151971211,2.070743884,2.915750134,,
95,0.006832534,0.150314203,2.058177338,2.890537911,,
96,0.006763963,0.148660528,2.046032477,2.865817144,,
97,0.006702164,0.147013069,2.034323461,2.841605664,,
98,0.00664715,0.145372323,2.023051829,2.81790536,,
99,0.006598847,0.143741249,2.012230553,2.794732477,,
100,0.006556947,0.142119809,2.001844014,2.77207198,,
101,0.006521005,0.140509657,1.991879359,2.749913665,,
102,0.00649092,0.138910376,1.982321301,2.728239545,,
103,0.006466127,0.137323235,1.973140276,2.707019927,,
104,0.006446445,0.135749004,1.964332553,2.686252559,,
105,0.006431546,0.134189274,1.955890993,2.665936088,,
106,0.006421031,0.132647964,1.947827932,2.646104438,,
107,0.006414617,0.131125288,1.940124722,2.626735417,,
108,0.006411978,0.129622777,1.932773741,2.607826805,,
109,0.006412875,0.12815005,1.92586021,2.589517431,,
110,0.006416968,0.126707142,1.919359331,2.57177898,,
111,0.006423947,0.125297039,1.913280167,2.554634578,,
112,0.006433156,0.123918722,1.907556886,2.538015822,,
113,0.006444133,0.122573457,1.902166113,2.521906335,,
114,0.006456562,0.121264205,1.897115939,2.506328306,,
115,0.006469827,0.119989079,1.89233605,2.491204658,,
116,0.006483139,0.118742935,1.887705798,2.47639388,,
117,0.006496147,0.117528768,1.883230341,2.46191552,,
118,0.006508397,0.116346562,1.878872716,2.447734533,,
119,0.006519944,0.115197607,1.874649532,2.433879325,,
120,0.006530139,0.114081392,1.870503364,2.420290616,,
121,0.006538574,0.112998025,1.866402213,2.40693924,,
122,0.006545352,0.11194783,1.862363908,2.393849125,,
123,0.006550192,0.11093097,1.858368852,2.381004321,,
124,0.006552711,0.109947562,1.854387433,2.368378204,,
125,0.00655288,0.10899864,1.85043631,2.355995163,,
126,0.006550976,0.108086301,1.846576126,2.343928529,,
127,0.006546609,0.107210327,1.842771671,2.332144971,,
128,0.006539647,0.106371386,1.839024591,2.320652151,,
129,0.006530736,0.105567097,1.835342788,2.309440621,,
130,0.006519564,0.104798823,1.831726481,2.298521945,,
131,0.006506137,0.104066697,1.828178419,2.287900774,,
132,0.006490343,0.103366742,1.824647359,2.277507931,,
133,0.006472104,0.102696183,1.82109784,2.26729582,,
134,0.006451433,0.102055437,1.817536368,2.257274231,,
135,0.006428496,0.10144594,1.813996609,2.247483084,,
136,0.006405869,0.100902209,1.811117897,2.23870399,,
137,0.006412601,0.100860376,1.816724376,2.240579211,,
138,0.006453894,0.101409699,1.832274101,2.25489014,,
139,0.006518785,0.102415221,1.85529799,2.278575856,,
140,0.006605325,0.103883493,1.885854086,2.311700232,,
141,0.006716489,0.105896704,1.925318775,2.355957563,,
142,0.006831777,0.108173711,1.968438181,2.404935002,,
143,0.006947516,0.110703571,2.014840403,2.458218899,,
144,0.007065545,0.11354213,2.065439839,2.516947821,,
145,0.007186781,0.116736661,2.120965571,2.582035931,,
146,0.007311882,0.120330314,2.182056482,2.654285175,,
147,0.007441866,0.124369458,2.249390861,2.734543197,,
148,0.007578935,0.128927738,2.32411659,2.824231037,,
149,0.007719646,0.133980388,2.405608697,2.92261695,,
150,0.007858199,0.139467843,2.492578338,3.028168787,,
151,0.007995546,0.145445889,2.58579663,3.141860667,,
152,0.00813056,0.151932344,2.685344386,3.263830329,,
153,0.008262679,0.158958748,2.791536392,3.394501692,,
154,0.008392588,0.166585783,2.905160186,3.534879988,,
155,0.008524187,0.174946096,3.028164717,3.687394942,,
156,0.008657935,0.184100253,3.161300221,3.853010807,,
157,0.008794971,0.194153563,3.305861584,4.033388173,,
158,0.008936187,0.205185754,3.462860384,4.229820079,,
159,0.009079256,0.217261356,3.632764175,4.442981791,,
160,0.009224906,0.230474444,3.816718931,4.674347451,,
161,0.009373799,0.244984736,4.016607675,4.92635248,,
162,0.009526625,0.260916217,4.233934592,5.2009336,,
163,0.009690606,0.278676988,4.474368453,5.505225969,,
164,0.009867604,0.298464671,4.740427434,5.842444692,,
165,0.010064975,0.320866977,5.040013803,6.222596243,,
166,0.010286361,0.346167092,5.376886063,6.650447259,,
167,0.010538666,0.37513025,5.761313527,7.139056014,,
168,0.010818794,0.40792798,6.195188485,7.690948147,,
169,0.011049776,0.441945544,6.639567821,8.257895272,,
170,0.011114943,0.472069146,7.019542775,8.746514115,,
171,0.010973144,0.495688808,7.299105681,9.111506311,,
172,0.010637822,0.512151365,7.471817572,9.344236143,,
173,0.01021436,0.524988436,7.59196457,9.511921815,,
174,0.00978767,0.53771952,7.711556251,9.679462606,,
175,0.009370575,0.550983487,7.839890718,9.858769448,,
176,0.008963717,0.564606493,7.973734184,10.04625327,,
177,0.008574343,0.578459835,8.110498629,10.23900912,,
178,0.0082008,0.592561147,8.250449374,10.43726232,,
179,0.007844068,0.606849621,8.392217976,10.63928695,,
180,0.007503387,0.621330555,8.535921721,10.84520489,,
181,0.007178489,0.635992162,8.681294018,11.0546621,,
182,0.006869015,0.650907888,8.82922145,11.2687468,,
183,0.006575031,0.666116754,8.980130202,11.48798538,,
184,0.006297046,0.682034356,9.138564651,11.71798447,,
185,0.006034875,0.698491872,9.302678304,11.9564666,,
186,0.005786744,0.71563312,9.47387399,12.20524494,,
187,0.005553139,0.733418641,9.651766811,12.46382201,,
188,0.00533218,0.751926329,9.83675345,12.73261792,,
189,0.005123643,0.771165817,10.02888632,13.01168984,,
190,0.004931026,0.790527726,10.22206355,13.29284636,,
191,0.004756634,0.809569812,10.41179533,13.57004177,,
192,0.004602462,0.828251704,10.59799714,13.84304018,,
193,0.004476904,0.845792342,10.77352641,14.10192853,,
194,0.004383944,0.86237949,10.94228577,14.35149188,,
195,0.004326274,0.878148948,11.10677303,14.59483828,,
196,0.004310885,0.893727126,11.27661647,14.84422213,,
197,0.004337302,0.909045743,11.45150522,15.09915832,,
