day,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,sizebin6,,Day 1= December 1st (no specific year- they  are calculated by a model- day 335 is Dec 1 on Camila's set up)
1,2.51E-05,0.101524443,13.18984655,35.10667211,34.35755004,41.9763349,,
2,2.52E-05,0.097622989,12.90684512,35.28262306,34.56219877,42.07866867,,
3,2.54E-05,0.093788757,12.63216991,35.45549803,34.76447698,42.18151192,,
4,2.55E-05,0.090027474,12.36476064,35.62147431,34.96233639,42.28374179,,
5,2.56E-05,0.086349478,12.10252557,35.77314573,35.15182678,42.38322845,,
6,2.58E-05,0.082748696,11.84669326,35.91486226,35.33526828,42.48122283,,
7,2.59E-05,0.079239872,11.59604539,36.04216726,35.50934753,42.57495492,,
8,2.60E-05,0.075820552,11.35078479,36.15580276,35.67461618,42.66488592,,
9,2.62E-05,0.072491504,11.11108712,36.25654805,35.83170513,42.75162611,,
10,2.63E-05,0.069264393,10.87688788,36.34468145,35.98101489,42.83582182,,
11,2.65E-05,0.066139467,10.64804273,36.4196041,36.12207357,42.91703561,,
12,2.66E-05,0.063119667,10.42450292,36.48129964,36.25492837,42.9953935,,
13,2.68E-05,0.060203604,10.2063936,36.5305276,36.38024814,43.07157017,,
14,2.69E-05,0.057395893,9.993598826,36.5669718,36.49783985,43.1454796,,
15,2.71E-05,0.054698457,9.786004566,36.59041483,36.60749663,43.2168899,,
16,2.73E-05,0.052097703,9.58165159,36.59449281,36.70159462,43.27559804,,
17,2.74E-05,0.049570757,9.377594767,36.57023604,36.76458337,43.29806523,,
18,2.76E-05,0.047111217,9.174438015,36.52756906,36.79565921,43.27373953,,
19,2.77E-05,0.044731992,8.976557969,36.48940559,36.80651564,43.20656489,,
20,2.79E-05,0.042448339,8.788397115,36.47717457,36.81175233,43.10718563,,
21,2.80E-05,0.040274812,8.614469677,36.51272399,36.83036226,42.99463687,,
22,2.81E-05,0.03822057,8.457161961,36.60766497,36.8789388,42.89140462,,
23,2.83E-05,0.03627995,8.315848319,36.75929654,36.96004094,42.80486783,,
24,2.84E-05,0.034441236,8.188242013,36.95681027,37.07000908,42.73705159,,
25,2.85E-05,0.032690495,8.071084092,37.18429529,37.19976605,42.68371346,,
26,2.85E-05,0.031024186,7.963379974,37.43558433,37.34868404,42.64940294,,
27,2.86E-05,0.029434209,7.863201697,37.70022145,37.5100597,42.63030933,,
28,2.86E-05,0.027913332,7.76877255,37.96844633,37.67839101,42.6243861,,
29,2.86E-05,0.026460753,7.679287965,38.23488178,37.85135522,42.6316843,,
30,2.86E-05,0.02507154,7.593354363,38.49153695,38.02465168,42.65085436,,
31,2.86E-05,0.023744018,7.510249681,38.73355534,38.19507841,42.6798225,,
32,2.86E-05,0.024299537,7.449243006,38.81752664,38.26265866,42.77368323,,
33,2.86E-05,0.022999222,7.366260395,39.0043045,38.41271752,42.81542022,,
