functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt,,,,,,,
Active Copepod,0,45,Control,Winter,1.958545115,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,0,46,Control,Winter,1.81079636,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,0,55,Control,Winter,0.862882823,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,0,44,Control,Winter,0.834017231,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,0,54,Control,Winter,0.752287295,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,0,45,Control,Spring,1.519876848,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,0,46,Control,Spring,0.731991591,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,0,47,Control,Spring,0.351203297,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,0,44,Control,Spring,0.120836845,7.70E-02,7.70E+00,20,,,,,,,
Active Copepod,0,55,Control,Spring,0.050537304,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,0,46,Control,Summer,5.99800481,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,0,47,Control,Summer,3.551208798,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,0,45,Control,Summer,1.513509485,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,0,55,Control,Summer,0.53939333,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,0,54,Control,Summer,0.48759597,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,0,55,Control,Autumn,4.256513363,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,0,54,Control,Autumn,4.003577044,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,0,46,Control,Autumn,3.409842338,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,0,47,Control,Autumn,3.245539552,2.96E+00,2.96E+02,20,,,,,,,
Active Copepod,0,53,Control,Autumn,0.877384816,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,45,Winter,Winter,4.557459247,2.60E-01,2.60E+01,20,,,,,,,
Active Copepod,1,54,Winter,Winter,4.193606381,2.96E+00,2.96E+02,24,,,,,,,
Active Copepod,1,46,Winter,Winter,4.155613304,8.77E-01,8.77E+01,20,,,,,,,
Active Copepod,1,53,Winter,Winter,3.818490578,2.60E-01,2.60E+01,24,,,,,,,
Active Copepod,1,55,Winter,Winter,2.154216133,8.77E-01,8.77E+01,24,,,,,,,
Active Copepod,1,46,Winter,Spring,3.240848909,8.77E-01,8.77E+01,20,,,,,,,
