functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt
Passive Copepod,0,16,Control,Winter,1.958545115,0.002,0.2,20
Passive Copepod,0,17,Control,Winter,1.81079636,0.01,1,20
Passive Copepod,0,18,Control,Winter,0.862882823,0.05,5,20
Passive Copepod,0,21,Control,Winter,0.834017231,0.05,5,24
Passive Copepod,0,20,Control,Winter,0.752287295,0.01,1,24
Passive Copepod,0,17,Control,Spring,1.519876848,0.01,1,20
Passive Copepod,0,16,Control,Spring,0.731991591,0.002,0.2,20
Passive Copepod,0,18,Control,Spring,0.351203297,0.05,5,20
Passive Copepod,0,21,Control,Spring,0.120836845,0.05,5,24
Passive Copepod,0,20,Control,Spring,0.050537304,0.01,1,24
Passive Copepod,0,17,Control,Summer,5.99800481,0.01,1,20
Passive Copepod,0,18,Control,Summer,3.551208798,0.05,5,20
Passive Copepod,0,16,Control,Summer,1.513509485,0.002,0.2,20
Passive Copepod,0,21,Control,Summer,0.53939333,0.05,5,24
Passive Copepod,0,20,Control,Summer,0.48759597,0.01,1,24
Passive Copepod,0,17,Control,Autumn,4.256513363,0.01,1,20
Passive Copepod,0,20,Control,Autumn,4.003577044,0.01,1,24
Passive Copepod,0,21,Control,Autumn,3.409842338,0.05,5,24
Passive Copepod,0,18,Control,Autumn,3.245539552,0.05,5,20
Passive Copepod,0,16,Control,Autumn,0.877384816,0.002,0.2,20
Passive Copepod,1,20,Winter,Winter,5.107401754,0.01,1,24
Passive Copepod,1,17,Winter,Winter,4.335298154,0.01,1,20
Passive Copepod,1,16,Winter,Winter,3.191401785,0.002,0.2,20
Passive Copepod,1,18,Winter,Winter,1.771804036,0.05,5,20
Passive Copepod,1,19,Winter,Winter,1.407077406,0.002,0.2,24
Passive Copepod,1,17,Winter,Spring,3.521553213,0.01,1,20
Passive Copepod,1,18,Winter,Spring,2.272596149,0.05,5,20
Passive Copepod,1,16,Winter,Spring,1.554163677,0.002,0.2,20
Passive Copepod,1,20,Winter,Spring,1.206416521,0.01,1,24
Passive Copepod,1,21,Winter,Spring,0.522132149,0.05,5,24
Passive Copepod,1,17,Winter,Summer,5.153725982,0.01,1,20
