functional_group,year,taxa_id,hw_season,season ,absolute_bio,min_size,max_size,temp_opt
Protists,0,81,Control,Winter,22.93105766,1.93E-03,5.18E-03,20.00
Protists,0,77,Control,Winter,21.01740105,3.73E-05,1.00E-04,20.00
Protists,0,76,Control,Winter,18.04961388,1.39E-05,3.73E-05,20.00
Protists,0,80,Control,Winter,14.476791,7.20E-04,1.93E-03,20.00
Protists,0,82,Control,Winter,13.26852413,5.18E-03,1.39E-02,20.00
Protists,0,82,Control,Spring,11.20786377,5.18E-03,1.39E-02,20.00
Protists,0,81,Control,Spring,8.851822052,1.93E-03,5.18E-03,20.00
Protists,0,83,Control,Spring,7.776604019,1.39E-02,3.73E-02,20.00
Protists,0,84,Control,Spring,7.567188707,3.73E-02,1.00E-01,20.00
Protists,0,80,Control,Spring,4.94874099,7.20E-04,1.93E-03,20.00
Protists,0,84,Control,Summer,11.30765314,3.73E-02,1.00E-01,20.00
Protists,0,81,Control,Summer,9.188215033,1.93E-03,5.18E-03,20.00
Protists,0,82,Control,Summer,8.976098752,5.18E-03,1.39E-02,20.00
Protists,0,83,Control,Summer,8.33522903,1.39E-02,3.73E-02,20.00
Protists,0,95,Control,Summer,7.455229327,1.93E-03,5.18E-03,24.00
Protists,0,90,Control,Autumn,10.25061966,1.39E-05,3.73E-05,24.00
Protists,0,89,Control,Autumn,10.01455445,5.18E-06,1.39E-05,24.00
Protists,0,94,Control,Autumn,9.202445718,7.20E-04,1.93E-03,24.00
Protists,0,95,Control,Autumn,7.754156487,1.93E-03,5.18E-03,24.00
Protists,0,91,Control,Autumn,6.889606653,3.73E-05,1.00E-04,24.00
Protists,1,77,Winter,Winter,14.79420603,3.73E-05,1.00E-04,20.00
Protists,1,76,Winter,Winter,14.17279518,1.39E-05,3.73E-05,20.00
Protists,1,98,Winter,Winter,13.56100708,3.73E-02,1.00E-01,24.00
Protists,1,81,Winter,Winter,13.00582684,1.93E-03,5.18E-03,20.00
Protists,1,91,Winter,Winter,12.44534651,3.73E-05,1.00E-04,24.00
Protists,1,81,Winter,Spring,9.335390807,1.93E-03,5.18E-03,20.00
Protists,1,80,Winter,Spring,7.46093459,7.20E-04,1.93E-03,20.00
Protists,1,82,Winter,Spring,6.305246357,5.18E-03,1.39E-02,20.00
Protists,1,74,Winter,Spring,4.676542487,1.93E-06,5.18E-06,20.00
Protists,1,84,Winter,Spring,4.64488568,3.73E-02,1.00E-01,20.00
Protists,1,81,Winter,Summer,8.857937482,1.93E-03,5.18E-03,20.00
Protists,1,80,Winter,Summer,7.160688252,7.20E-04,1.93E-03,20.00
Protists,1,82,Winter,Summer,6.800497002,5.18E-03,1.39E-02,20.00
Protists,1,95,Winter,Summer,6.380501644,1.93E-03,5.18E-03,24.00
Protists,1,76,Winter,Summer,4.891423493,1.39E-05,3.73E-05,20.00
Protists,1,89,Winter,Autumn,10.61066307,5.18E-06,1.39E-05,24.00
Protists,1,94,Winter,Autumn,9.65071123,7.20E-04,1.93E-03,24.00
Protists,1,90,Winter,Autumn,9.034087236,1.39E-05,3.73E-05,24.00
Protists,1,88,Winter,Autumn,8.380762514,1.93E-06,5.18E-06,24.00
Protists,1,93,Winter,Autumn,7.821689867,2.68E-04,7.20E-04,24.00
Protists,2,77,Winter,Winter,19.42462312,3.73E-05,1.00E-04,20.00
Protists,2,76,Winter,Winter,18.70155233,1.39E-05,3.73E-05,20.00
Protists,2,80,Winter,Winter,16.73469257,7.20E-04,1.93E-03,20.00
Protists,2,81,Winter,Winter,15.29357521,1.93E-03,5.18E-03,20.00
Protists,2,95,Winter,Winter,14.63922733,1.93E-03,5.18E-03,24.00
Protists,2,82,Winter,Spring,11.91688182,5.18E-03,1.39E-02,20.00
Protists,2,81,Winter,Spring,8.561743095,1.93E-03,5.18E-03,20.00
Protists,2,84,Winter,Spring,8.45800736,3.73E-02,1.00E-01,20.00
Protists,2,83,Winter,Spring,7.222579464,1.39E-02,3.73E-02,20.00
Protists,2,80,Winter,Spring,4.612699742,7.20E-04,1.93E-03,20.00
Protists,2,84,Winter,Summer,16.18928593,3.73E-02,1.00E-01,20.00
Protists,2,98,Winter,Summer,10.85650426,3.73E-02,1.00E-01,24.00
Protists,2,83,Winter,Summer,10.39061275,1.39E-02,3.73E-02,20.00
Protists,2,82,Winter,Summer,7.867631616,5.18E-03,1.39E-02,20.00
Protists,2,96,Winter,Summer,7.696796585,5.18E-03,1.39E-02,24.00
Protists,2,90,Winter,Autumn,10.53084702,1.39E-05,3.73E-05,24.00
Protists,2,89,Winter,Autumn,10.03401123,5.18E-06,1.39E-05,24.00
Protists,2,94,Winter,Autumn,9.951820056,7.20E-04,1.93E-03,24.00
Protists,2,95,Winter,Autumn,8.570484765,1.93E-03,5.18E-03,24.00
Protists,2,91,Winter,Autumn,7.238519454,3.73E-05,1.00E-04,24.00
Protists,3,81,Winter,Winter,22.88747486,1.93E-03,5.18E-03,20.00
Protists,3,77,Winter,Winter,21.68273441,3.73E-05,1.00E-04,20.00
Protists,3,76,Winter,Winter,19.46111792,1.39E-05,3.73E-05,20.00
Protists,3,80,Winter,Winter,15.18722391,7.20E-04,1.93E-03,20.00
Protists,3,75,Winter,Winter,9.992999966,5.18E-06,1.39E-05,20.00
Protists,3,82,Winter,Spring,11.56338386,5.18E-03,1.39E-02,20.00
Protists,3,81,Winter,Spring,8.925114194,1.93E-03,5.18E-03,20.00
Protists,3,84,Winter,Spring,6.413118821,3.73E-02,1.00E-01,20.00
Protists,3,83,Winter,Spring,6.095973755,1.39E-02,3.73E-02,20.00
Protists,3,80,Winter,Spring,4.489851119,7.20E-04,1.93E-03,20.00
Protists,3,84,Winter,Summer,13.160823,3.73E-02,1.00E-01,20.00
Protists,3,83,Winter,Summer,9.194464276,1.39E-02,3.73E-02,20.00
Protists,3,82,Winter,Summer,8.623580417,5.18E-03,1.39E-02,20.00
Protists,3,81,Winter,Summer,8.054631977,1.93E-03,5.18E-03,20.00
Protists,3,95,Winter,Summer,7.489751047,1.93E-03,5.18E-03,24.00
Protists,3,90,Winter,Autumn,10.32657024,1.39E-05,3.73E-05,24.00
