year,autumn_Ca_spring,autumn_Ca_summer,autumn_Ca_autumn,autumn_Ca_winter
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.8385789873413,1.30937727969906,1.6627919110758,2.03455921851005
2,1.85492559388983,1.72650820568832,1.308089897909,1.87660852884728
3,1.66474297819083,1.68160470452174,1.60276244408855,1.81528640730479
4,1.64858621362511,1.58820521208293,1.74307342925772,1.85221450796319
5,1.60452674167567,1.52243615107728,1.75376039529057,1.87138591997341
6,1.56502096306979,1.48510706929166,1.77209200736277,1.87155020705419
7,1.53120220147739,1.45912756161485,1.77657561941228,1.86588468396824
8,1.5066663912966,1.4430217549429,1.77794919729886,1.8600914741962
9,1.4909343868215,1.43343274325262,1.78017019130154,1.8562524658795
