year,autumn_Ca_spring_cop_only,autumn_Ca_summer_cop_only,autumn_Ca_autumn_cop_only,autumn_Ca_winter_cop_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.56838390558412,1.21710244968947,1.48358547061953,1.7873207626191
2,1.70119025309911,1.59385653468054,1.12191370377218,1.98815730556156
3,1.66066849203705,1.59653324373198,1.49542507157034,1.84742257680592
4,1.62772255779255,1.52798506001586,1.71807421759875,1.85649609630406
5,1.59609271729103,1.49453505836449,1.75731216528867,1.87296037681212
6,1.55726522024262,1.46799897322548,1.77317541913998,1.87392017890072
7,1.52563897336728,1.4482225548342,1.78471301299445,1.86798134038169
8,1.5033011517859,1.43546855284643,1.78310228036758,1.86143014106035
9,1.48836452011974,1.42763426131295,1.7794909023888,1.85604161419197
