year,autumn_Ca_spring_prot_only,autumn_Ca_summer_prot_only,autumn_Ca_autumn_prot_only,autumn_Ca_winter_prot_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.62513897508918,1.62595061017094,1.84666031593595,1.80960608330068
2,1.52073694306403,1.61947489533466,1.75827168448722,1.81056307340258
3,1.54487044098793,1.59184512113136,1.75231537274105,1.83585145710063
4,1.53261562822837,1.53662089844968,1.7674888515869,1.84718760665596
5,1.51347508763888,1.48511220369846,1.76602882665631,1.85113326054674
6,1.49897771746101,1.45501937778898,1.76933960566124,1.85249240464403
7,1.4873888682755,1.43881888758774,1.77290055719996,1.85066002848053
8,1.47911933388054,1.43042619113075,1.77194439335245,1.84988657155228
9,1.47349230451816,1.42561428914288,1.77482701102339,1.84950001694194
