year,autumn_Cp_spring,autumn_Cp_summer,autumn_Cp_autumn,autumn_Cp_winter
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.60369747056479,1.30562423246357,1.47553134784749,1.56981958306617
2,1.35264411020807,1.57321633041538,1.11717037051238,1.43029870187183
3,1.15159881328582,1.47640171747063,1.39016103678451,1.47443762012927
4,1.20187565979647,1.36265369982056,1.49526601576286,1.50296035449588
5,1.19330764572343,1.30581952541176,1.52228613402447,1.50866734649296
6,1.18800792497874,1.28181393055868,1.53512980890332,1.51274174184429
7,1.17895558310512,1.26634675766684,1.542632952701,1.51699824681497
8,1.17292691777127,1.25790243014011,1.54926882024656,1.52050880472138
9,1.16945929157195,1.25370504559434,1.55669198499262,1.52696380977565
