year,autumn_Cp_spring_cop_only,autumn_Cp_summer_cop_only,autumn_Cp_autumn_cop_only,autumn_Cp_winter_cop_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.44369919427941,1.27257778832131,1.37901913221903,1.44453756326909
2,1.3352237239514,1.50980324578019,1.02624747652783,1.54167276311453
3,1.20691465818909,1.44687938038213,1.33166104980718,1.51404883202426
4,1.20947969273166,1.33371411804698,1.48476791200704,1.52018842352546
5,1.20367418987264,1.29369169331166,1.51845909357946,1.51934873303199
6,1.19053277932714,1.27368302210726,1.53112282124782,1.51723624182434
7,1.17947859806192,1.2605937052812,1.54294331447177,1.52085081075746
8,1.173466825767,1.253998201438,1.55038632339234,1.52734870431454
9,1.17179882025088,1.25148680864207,1.55618540670984,1.5310508475319
