year,autumn_Cp_spring_prot_only,autumn_Cp_summer_prot_only,autumn_Cp_autumn_prot_only,autumn_Cp_winter_prot_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.37867147139373,1.49133646196872,1.68082389617988,1.41230620621722
2,1.12794238127388,1.43591430443294,1.61357969879395,1.49050464379816
3,1.2056342285051,1.38945843922882,1.57350250623305,1.5226603876261
4,1.2086226472687,1.3432563011896,1.56651589482047,1.53983894711631
5,1.1992778152348,1.30031635421895,1.56723585328541,1.54678180183318
6,1.18933810762028,1.27602359593303,1.57180923766043,1.55124118913442
7,1.1818827608518,1.26439803116645,1.57708862588411,1.55547070728725
8,1.17699498595803,1.25859630724938,1.57947520221298,1.55856808394627
9,1.174019786811,1.25540203135007,1.5845443377289,1.56320906667382
