year,autumn_P_spring,autumn_P_summer,autumn_P_autumn,autumn_P_winter
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,3.23884925874273,3.13610423694453,2.96538905780216,2.85068022903769
2,2.89358739060976,2.99962532872505,2.79777702684895,2.82614244911687
3,2.79178590587651,3.02591417247663,2.81080254584609,2.87663221189207
4,2.71237595672957,3.02320291877856,2.86716309402114,2.87108621374205
5,2.67276101875718,3.03127627979176,2.92837217789979,2.86072590983954
6,2.65650474508656,3.02660409682972,2.9491376252565,2.85644956896471
7,2.64285431033126,3.02269829233504,2.958853401575,2.85415947148798
8,2.63461986105708,3.02079272345462,2.96597037814596,2.85359801792611
9,2.63247485969929,3.02004810312007,2.96890335711444,2.85241988404826
