year,autumn_P_spring_cop_only,autumn_P_summer_cop_only,autumn_P_autumn_cop_only,autumn_P_winter_cop_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.53492836529953,2.88117027512035,2.98184333556142,2.83462848708693
2,2.75426357709376,2.99834499884221,2.81934708423833,2.87605188423644
3,2.78673160799496,3.02611359364867,2.81403645102679,2.89996997315128
4,2.71155969877211,3.03436053215806,2.86751662147826,2.87594636466024
5,2.67064023940176,3.03369345809244,2.93113826884209,2.85957824391039
6,2.65251403490195,3.03036407899223,2.95198403349094,2.85661789836387
7,2.64130620806393,3.02334394511071,2.96201719911791,2.85471951540928
8,2.63278757292723,3.01983843062712,2.96783583937917,2.85230074845419
9,2.62865910896457,3.01953926209702,2.97082932029389,2.85267455491768
