year,autumn_P_spring_prot_only,autumn_P_summer_prot_only,autumn_P_autumn_prot_only,autumn_P_winter_prot_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,3.33421736056534,3.19421846261532,2.92327850637204,2.871443975502
2,2.79117454390636,3.0553967067819,2.85036410756679,2.80673648495072
3,2.73274584178305,3.04677798953883,2.87763356987399,2.83968634865971
4,2.68719868819082,3.02764204255817,2.91220680028206,2.85788979894841
5,2.6564158793835,3.02475898364305,2.94071180585448,2.85867847773271
6,2.64508338856714,3.02436852221589,2.95630981162979,2.85552757692676
7,2.63599925547949,3.02072142167761,2.96362644071109,2.85317753182348
8,2.63377837184474,3.02113798079813,2.96641336862986,2.85289311125979
9,2.63344264645105,3.02063276533156,2.967725410495,2.85197857432342
