year,spring_Ca_spring,spring_Ca_summer,spring_Ca_autumn,spring_Ca_winter
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.43581531179966,1.66311879319988,1.84488416478212,1.87307385189205
2,1.47218437162737,1.48434021830651,1.74327489267051,1.866689215502
3,1.5333165829762,1.43210033353234,1.7629996331248,1.8626650175606
4,1.51644385721904,1.42962591501762,1.77454799105769,1.85848277749223
5,1.49736539915374,1.42526500344135,1.78001231840701,1.85368285250765
6,1.48507059233994,1.42190513799628,1.77742714578587,1.85082809679365
7,1.47575124091676,1.41854019260325,1.77944091642393,1.84856404206512
8,1.46788137289431,1.41511548168671,1.77799906004778,1.84647198276171
9,1.46415297162672,1.4132041456287,1.77589050841002,1.84585053147745
