year,spring_Ca_spring_cop_only,spring_Ca_summer_cop_only,spring_Ca_autumn_cop_only,spring_Ca_winter_cop_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.48494290741722,1.57868297759544,1.83371187406609,1.8575135590339
2,1.41789278919866,1.45824553530299,1.73765732708626,1.85516151832423
3,1.48372511079044,1.40870393625994,1.76138461983827,1.85387986303054
4,1.48921266128568,1.41875909408411,1.77379937799917,1.8509546012987
5,1.48344414860711,1.42203823243631,1.77576205094533,1.84940116439674
6,1.47637151763444,1.42030582173783,1.7759858903131,1.84869717868107
7,1.47156460966226,1.41813800238595,1.77659325022672,1.8476456046113
8,1.46790830332934,1.41738172067492,1.77854067272129,1.8476686121335
9,1.46503906784891,1.41643983945208,1.77941814484186,1.8467037066772
