year,spring_Cp_spring,spring_Cp_summer,spring_Cp_autumn,spring_Cp_winter
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.20964719022006,1.44247287666222,1.67553125670393,1.56560804996625
2,1.11880848261306,1.34062532069029,1.5751495817628,1.58038447873264
3,1.14099957356385,1.26236801123521,1.58756547511987,1.5806470181747
4,1.16264163608999,1.24892800262269,1.59505348461883,1.58236999181024
5,1.16374105196296,1.24765867766172,1.60132290756502,1.58340848180008
6,1.16637290748333,1.24852940613396,1.60211855184928,1.58440977821783
7,1.1658100204508,1.24777303142532,1.6063537736621,1.58714581474056
8,1.16477176732492,1.247308983582,1.60818731228379,1.58944979609067
9,1.16741059949576,1.24802733550031,1.60849816070259,1.59038922205714
