year,spring_Cp_spring_cop_only,spring_Cp_summer_cop_only,spring_Cp_autumn_cop_only,spring_Cp_winter_cop_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.1878280234653,1.3864624815968,1.65947312332061,1.5895439322062
2,1.16664162637603,1.35794280420392,1.60119528485182,1.59502106698487
3,1.16191373709019,1.27521840246552,1.60219377417495,1.59136255924962
4,1.17535881744546,1.26481288828207,1.60562711363977,1.5884954805973
5,1.17189793360113,1.26076796325017,1.60590746710908,1.58898724179156
6,1.16835071352423,1.25588658320556,1.60677456107886,1.58981813706719
7,1.16801529765611,1.25290628763327,1.60855547621549,1.58968828820162
8,1.16813866180211,1.25213837115836,1.61134395549211,1.58981326591883
9,1.16833244988545,1.25165076746157,1.61324360400805,1.59038705305779
