year,spring_Cp_spring_prot_only,spring_Cp_summer_prot_only,spring_Cp_autumn_prot_only,spring_Cp_winter_prot_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.13141921131725,1.22741465446158,1.6144211526502,1.58675228597479
2,1.21234691230566,1.29682512970646,1.61388105143548,1.58954530331526
3,1.1839012669748,1.28212798833448,1.60952981812848,1.59018188682876
4,1.17649666806868,1.26221272531898,1.61038080980913,1.59117997166066
5,1.17386614481955,1.25234791612674,1.60860440441973,1.5916387231288
6,1.17255945952576,1.24903549704507,1.60941236926752,1.59267977305894
7,1.17134405646066,1.24766812874429,1.61011469879646,1.59212011505117
8,1.17093890298238,1.24695989002589,1.61129313506833,1.59331348166679
9,1.16904158685069,1.24649760186338,1.61037469748679,1.59394910986646
