year,spring_P_spring_cop_only,spring_P_summer_cop_only,spring_P_autumn_cop_only,spring_P_winter_cop_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.76985855692458,3.05213476936344,2.95017775819591,2.88483338183825
2,2.62299367844909,2.96634988660216,2.95545960576702,2.85534697724187
3,2.64479890710866,3.03045792924604,2.96057429149479,2.85018054561308
4,2.6421942053245,3.02416581499436,2.96437446874939,2.8503117452195
5,2.63659378728683,3.01963537018426,2.96661862490437,2.84948045598374
6,2.63292543548983,3.01833403449348,2.96902615661805,2.84948519282024
7,2.63167669449705,3.01932441488793,2.96991922956789,2.8502573413042
8,2.6308538558763,3.01979683921716,2.96959859026291,2.85030882659504
9,2.63253528096052,3.0208310223746,2.96939931947937,2.8501461884574
