year,summer_Ca_spring,summer_Ca_summer,summer_Ca_autumn,summer_Ca_winter
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.79863405191331,1.87747398090056,1.66815881618344,1.88740072477431
2,1.49725281948319,1.49561766592134,1.40237850025145,1.88703165364671
3,1.57602130752719,1.63628453357595,1.66950876659366,1.82732833465128
4,1.57474189985248,1.58142834990703,1.74089556901191,1.84281590174288
5,1.5558931325608,1.53832991448719,1.76187592159977,1.8558447885362
6,1.53176603343469,1.50065531179061,1.77476255458421,1.85773779386993
7,1.51125235349497,1.47247230760115,1.77697262655263,1.85681871135022
8,1.49641347114896,1.45163712324327,1.77860202758863,1.8554111259962
9,1.48595319024092,1.43902616390539,1.78153247979568,1.85186692732315
