year,summer_Ca_spring_cop_only,summer_Ca_summer_cop_only,summer_Ca_autumn_cop_only,summer_Ca_winter_cop_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.66265192743294,1.75537449911317,1.36066393609904,1.86238975354977
2,1.42186127595768,1.51215522005723,1.48009855520941,1.87325203649522
3,1.54082683208815,1.60358578960137,1.6985591559729,1.83056828522841
4,1.5535114746971,1.55643473967078,1.75240899598341,1.84191392270571
5,1.54261373685338,1.52418229027004,1.76877333298486,1.85118759156038
6,1.52255767999588,1.49256969585769,1.77270786907391,1.85481667289103
7,1.50612577101213,1.46701935451902,1.77770529868214,1.85528461882474
8,1.49392862463424,1.44939844918179,1.77993510126023,1.85282281245675
9,1.48470982985991,1.43878831505652,1.77583558533053,1.85209606960177
