year,summer_Ca_spring_prot_only,summer_Ca_summer_prot_only,summer_Ca_autumn_prot_only,summer_Ca_winter_prot_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.4585426599718,1.44843632241703,1.81711453119961,1.8099824959434
2,1.47006986644864,1.40959447510005,1.74345037893057,1.82299507757912
3,1.46324751409565,1.48394168008774,1.75977070136308,1.83318644802938
4,1.46309694848347,1.47547142232599,1.76282958305496,1.83932424403184
5,1.46452437943439,1.45048281391135,1.76670969461178,1.84136200317134
6,1.46496649298552,1.43402188458238,1.76628458927343,1.84321833970817
7,1.46459082916158,1.42655330374736,1.76987429775545,1.84392818084496
8,1.46184212948242,1.42194470032489,1.77083129498283,1.844312630116
9,1.46130584989568,1.41834822288413,1.77307566878201,1.84485109670798
