year,summer_Cp_spring,summer_Cp_summer,summer_Cp_autumn,summer_Cp_winter
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.68629864631192,1.6008255909038,1.30329443908824,1.5481890751584
2,1.29030751040177,1.4210642310041,1.1983016445697,1.40025884496059
3,1.1889027254771,1.5798544676972,1.41337404801708,1.46547731706303
4,1.22197511914795,1.47315644330436,1.49382539693814,1.49841865873116
5,1.21768521707399,1.37984265559785,1.51921922044534,1.50716716337351
6,1.20422239981831,1.33118834645145,1.53226399479543,1.51137824865003
7,1.19021732476689,1.30145835158269,1.53983039332175,1.51477157050596
8,1.1806657943264,1.27955760903811,1.54669984939664,1.51798871733423
9,1.17508582450759,1.26616972240519,1.5547508573583,1.52470371542919
