year,summer_Cp_spring,summer_Cp_summer,summer_Cp_autumn,summer_Cp_winter
0,0.490342396488841,0.46085729287431,0.406214260094524,0.457163520437692
1,0.403650411003182,0.434802529303714,0.410232869495431,0.393976534843506
2,0.417151009794061,0.37712693823783,0.355282014632201,0.405338634888741
3,0.424097000449903,0.393890179648169,0.360794054290631,0.415782656178093
4,0.444083257924879,0.402428118551573,0.367485688656597,0.42517533067852
5,0.454584745281524,0.417918490473354,0.374829140661203,0.431138427933433
6,0.461174662219906,0.427616318594646,0.381601042844848,0.434479844623539
7,0.465014469214669,0.432983632776115,0.384141208949861,0.436503588844553
8,0.467919924058894,0.436776463331776,0.386090837806558,0.440183770311424
9,0.471887737112906,0.439963336922614,0.389008982874872,0.443031561319212
