year,summer_Cp_spring_cop_only,summer_Cp_summer_cop_only,summer_Cp_autumn_cop_only,summer_Cp_winter_cop_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.60761345559082,1.56358734380863,1.18259321201884,1.54272021696112
2,1.20496714251326,1.42117333772794,1.29379250307808,1.43933137224339
3,1.19238289091337,1.55877581329762,1.44555962725619,1.48211573607586
4,1.20923887858533,1.44721544863308,1.50769866140853,1.5047722987482
5,1.20443349359404,1.36703808089321,1.52870097574194,1.51398967427522
6,1.19333232709591,1.32169160785108,1.53710819365202,1.51719646794678
7,1.18357649550144,1.29323563497802,1.54594389266757,1.52018796047626
8,1.17653389100918,1.27483589287455,1.55389475894411,1.52626561695701
9,1.17317255392698,1.26475614645,1.55794178906535,1.5308733646385
