year,summer_Cp_spring_prot_only,summer_Cp_summer_prot_only,summer_Cp_autumn_prot_only,summer_Cp_winter_prot_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.09517275597855,1.25150870364122,1.64718887973623,1.50522305308863
2,1.19149304960706,1.21597671709349,1.59948907207595,1.53080527702333
3,1.18619962426568,1.30086300752637,1.59554606569228,1.54444920832467
4,1.18224184491647,1.29917766867639,1.59571188074592,1.55402398657525
5,1.17814587250836,1.27945708929817,1.59519648443339,1.56079709952548
6,1.17563298413192,1.26588388749803,1.59248403209085,1.56580227370763
7,1.1744306273751,1.25916827357442,1.59460723772746,1.57058403564307
8,1.17226283227017,1.2554794756934,1.59678432113058,1.57366764801479
9,1.17146591840888,1.25361582754892,1.59911453405692,1.57696444156853
