year,summer_P_spring,summer_P_summer,summer_P_autumn,summer_P_winter
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.62998593490224,3.12352970624605,3.08383750125265,2.81784483503976
2,2.89800395812202,2.9463133176573,2.83320976114743,2.87887302978395
3,2.76946762203808,3.04124836871394,2.81715737040147,2.88036760407238
4,2.70347779212102,3.02875267597349,2.88539208105274,2.86407259982147
5,2.67321088049753,3.03497317450277,2.93038568517454,2.85944047851057
6,2.65457299955369,3.03244163974161,2.94825509161966,2.85765409833529
7,2.64298419839911,3.0261406339229,2.95781684975659,2.85573459535288
8,2.63773823174544,3.02309954520517,2.96411447475115,2.8542272896827
9,2.6321268873412,3.02285324041797,2.96824357224427,2.85238639484482
