year,summer_P_spring,summer_P_summer,summer_P_autumn,summer_P_winter
0,2.80928469538011,2.96040648736246,2.99692540095471,2.8796730290324
1,2.78571283934789,2.89256065151799,2.76226089204345,2.84614843800884
2,2.80972872350623,2.92270050020985,2.94629128156255,2.86731442710822
3,2.80412546216936,2.9178445030566,2.97132728973309,2.87317703755638
4,2.80584590344274,2.93576314153236,2.97949386686703,2.87724673693802
5,2.80651359975722,2.94162752124677,2.98806718259052,2.87795017584715
6,2.80771043682207,2.94983322430658,2.99071974729804,2.87858193929064
7,2.80796205931373,2.95147922497962,2.99375929618712,2.87938306314363
8,2.8081367414655,2.95355248711634,2.99643059033301,2.87959056270589
9,2.80874174357189,2.95596778115218,2.99739731340322,2.88011862994716
