year,summer_P_spring_cop_only,summer_P_summer_cop_only,summer_P_autumn_cop_only,summer_P_winter_cop_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.470940131434,2.81100542560891,2.92665680684382,2.83423993849499
2,2.85104716539401,2.94448264475517,2.81931755156485,2.88247124307995
3,2.75449820908598,3.03445210775804,2.82123353371016,2.87749371408728
4,2.69699233406574,3.03303144258678,2.89557725604198,2.86168376033503
5,2.66915780320355,3.0331010282729,2.93313045981249,2.85644273816489
6,2.65001625552534,3.02766850679622,2.94999447912799,2.85616440522784
7,2.64158776420788,3.02471969412815,2.96006325803706,2.8546677111498
8,2.63594714405475,3.02233583286113,2.96503742552425,2.85194505173358
9,2.63184694974955,3.01890008364775,2.9682353079903,2.85240099353597
