year,summer_P_spring_prot_only,summer_P_summer_prot_only,summer_P_autumn_prot_only,summer_P_winter_prot_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,3.06519395818027,3.28929339710183,3.00272876393432,2.80235719231854
2,2.70283565065846,3.09854048258178,2.84829481867919,2.83264054844803
3,2.65185077699816,3.046674850155,2.94116449070259,2.85303449257411
4,2.64218669486465,3.02168705607203,2.95676493884866,2.85400498778422
5,2.63439740697332,3.02194972911364,2.96467907337653,2.85262872027797
6,2.63309199622967,3.01869835587758,2.96660365127937,2.85162105164539
7,2.63326838524001,3.02003428904113,2.96801903889497,2.85042027225816
8,2.62842993724279,3.01996573180306,2.9701763242832,2.85122771550938
9,2.63020314724839,3.01892178895775,2.97039099801635,2.85049646998516
