year,winter_Ca_spring,winter_Ca_summer,winter_Ca_autumn,winter_Ca_winter
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.69282261926712,1.7088329672066,1.86700469968163,1.95471446340801
2,1.50263337559803,1.55787935786913,1.72484146925275,1.99965649994746
3,1.55687661508831,1.49780980089573,1.76465069679168,1.86227928179345
4,1.53450629140528,1.47212398700867,1.77145424018371,1.86095823798278
5,1.51267079094386,1.44894149652692,1.77582498679429,1.86007458472602
6,1.49698136538828,1.4360706052273,1.77528996704977,1.85872326096965
7,1.48559422646374,1.42815643337733,1.7779964854431,1.85566458539703
8,1.47721699717495,1.42453168846188,1.77838565067467,1.85223505195907
9,1.4715163386693,1.42097973089814,1.77798192492825,1.85012581865714
