year,winter_Ca_spring_cop_only,winter_Ca_summer_cop_only,winter_Ca_autumn_cop_only,winter_Ca_winter_cop_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.85129230898985,1.71285606906118,1.860006550524,2.07080489611779
2,1.53566885014207,1.58216973733855,1.75476793441872,2.01435996503391
3,1.54436003431576,1.49649618710608,1.77804618615349,1.89900598116847
4,1.52368558868545,1.4663371887477,1.77982856013175,1.88335871583429
5,1.50065474703488,1.44089351945101,1.7765799916968,1.87184915856412
6,1.48561121008914,1.42572640869243,1.77579340856303,1.86306866868049
7,1.47377147586941,1.41820231063733,1.77969577556063,1.85654494059218
8,1.46748059691148,1.41404834861728,1.77958627204807,1.85294401401344
9,1.46412730084484,1.41216876037761,1.77792072284158,1.85040512049858
