year,winter_Ca_spring_prot_only,winter_Ca_summer_prot_only,winter_Ca_autumn_prot_only,winter_Ca_winter_prot_only
0,1.45674450215877,1.40935097793966,1.77484996845629,1.84356809357932
1,1.28845221519239,1.2972184170028,1.79201674822689,1.63850603397063
2,1.46918915669798,1.3895188959746,1.7899386943704,1.84697965270332
3,1.45274303406908,1.40189873891794,1.77824479997155,1.84341631382448
4,1.4448106177481,1.39341445852412,1.77908216683774,1.84051450788434
5,1.44413818076632,1.39021444200064,1.77964572317796,1.84099252969632
6,1.44592901024224,1.39081044071796,1.77814467554847,1.84303089318943
7,1.44758107601903,1.3937146667187,1.77688892520348,1.8427020497368
8,1.44760496548904,1.39520922471089,1.77263679817938,1.84233225124163
9,1.44874139476543,1.39719189297007,1.77401201252324,1.84163984123927
