year,winter_Cp_spring,winter_Cp_summer,winter_Cp_autumn,winter_Cp_winter
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.50381884188156,1.52712605295086,1.71672216664782,1.65610148072479
2,1.14870579990137,1.46443046781795,1.55908353277398,1.57310963853503
3,1.17957484784221,1.35514036867513,1.57489166486695,1.51239849144629
4,1.19309975375326,1.3090000518591,1.57947378727239,1.54241833099088
5,1.18532576566405,1.28100162684032,1.58363657027137,1.55140884149307
6,1.17923926006502,1.26683265714897,1.58624341988308,1.55667514963533
7,1.17605727185009,1.25998167967034,1.59011051855374,1.56165936729036
8,1.17165294684043,1.25602924423482,1.59406680024378,1.56281924451356
9,1.16988603603504,1.2533956757099,1.59756698317423,1.56561017842131
