year,winter_Cp_spring_cop_only,winter_Cp_summer_cop_only,winter_Cp_autumn_cop_only,winter_Cp_winter_cop_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.46033254735083,1.4595544035845,1.69781894214308,1.7664435845633
2,1.22658954984419,1.40712062482869,1.59138619937414,1.64229793281856
3,1.23028171340001,1.31524027691841,1.59326017360692,1.62193299428321
4,1.21366453562849,1.29039809370183,1.59737416350167,1.61067743904598
5,1.19410104548497,1.26791278629612,1.59849045551925,1.6014716557601
6,1.1840875904905,1.25519081203554,1.60164460064417,1.59721377292811
7,1.17849448563691,1.25016813549657,1.60738084214631,1.59604581291448
8,1.17560617121089,1.24761186386825,1.60978646095038,1.59428758288689
9,1.17300403892036,1.24691827832523,1.61050091083908,1.59306397869435
