year,winter_Cp_spring_prot_only,winter_Cp_summer_prot_only,winter_Cp_autumn_prot_only,winter_Cp_winter_prot_only
0,1.1693852027774,1.24742003517729,1.61396763147801,1.59587295261101
1,1.15731730566021,1.19204464975771,1.60736683017961,1.42610603876691
2,1.25495780133874,1.2844199686244,1.5958357931255,1.60708197856611
3,1.23503691909955,1.28598010333363,1.59250007567091,1.6104574129544
4,1.21656885954157,1.26581831880216,1.59920190259388,1.61320388027487
5,1.2031333347303,1.2533151620712,1.60462879991988,1.61032298731553
6,1.19433015093613,1.24689813012733,1.60664765057669,1.60910229238908
7,1.18797817539847,1.24494655904565,1.60848213483353,1.60725378551267
8,1.18292766010434,1.24379769504487,1.60670777114774,1.60627162997087
9,1.17936470252334,1.2431874322442,1.60821947622377,1.60561285941334
