year,winter_P_spring_cop_only,winter_P_summer_cop_only,winter_P_autumn_cop_only,winter_P_winter_cop_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.70321532338371,2.98545620066317,2.93740914902354,2.81892213511394
2,2.62554769658057,2.9860878970307,2.92845463478084,2.86972866558934
3,2.68799511639414,3.04778424064031,2.93757530970173,2.87677128870425
4,2.66926509981398,3.03440943306233,2.95272629394862,2.85615736901717
5,2.647041577963,3.02544554135606,2.96296140964058,2.85629904683005
6,2.63637386246433,3.02299139194893,2.96852342101936,2.85493902618737
7,2.6315489042302,3.02388782978828,2.96973181439671,2.85281478041874
8,2.63228145947333,3.02230045233845,2.97076491743235,2.85259463686503
9,2.62991950335345,3.02063873568477,2.97094042768066,2.85090143030621
