year,winter_P_spring_prot_only,winter_P_summer_prot_only,winter_P_autumn_prot_only,winter_P_winter_prot_only
0,2.62957275819944,3.01896634643909,2.97142748463061,2.84957026126342
1,2.68094693073081,3.01881214820494,2.94447307256114,2.79362709868347
2,2.64513358508945,3.03437490286539,2.9564875081516,2.8022599635276
3,2.63221496375053,3.0233443169865,2.96731085789801,2.83223191547064
4,2.6267596695917,3.02594363506846,2.97058184756236,2.85129238454078
5,2.62874819559739,3.0260188975027,2.97192200908704,2.85588698061918
6,2.62597963576154,3.02360420097266,2.97269914943308,2.85361276488469
7,2.62595035420679,3.02217067561665,2.97249436956874,2.8519137185296
8,2.62467769497853,3.01897193007259,2.97273533396852,2.85146532338649
9,2.62350124601627,3.01982525031365,2.97251073245763,2.85014291954072
